,score
Car,181909
Transportation,172247
Vehicle,170850
Automobile,125733
Sports Car,123269
Race Car,93340
Tire,92669
Wheel,87488
Machine,79294
Spoke,74592
Clothing,67192
Alloy Wheel,66559
Person,66549
Tarmac,62487
Car Wheel,62120
Apparel,57175
Human,56192
Asphalt,47912
Helmet,43738
Crash Helmet,32594
Formula One,29823
Coupe,26509
Bomb,14680
Cardboard,14680
Weapon,14680
Box,14680
Weaponry,14680
Dynamite,14680
Outdoors,10466
Nature,8412
Kart,7963
Hardhat,6585
People,6115
Offroad,5210
Light,4978
Accessories,4940
Accessory,4940
Sport,4832
Road,4806
Paper,4243
Team Sport,4038
Team,4038
Shoe,3891
Symbol,3711
Logo,3711
Sunglasses,3707
Truck,3596
Fire Truck,3596
Dating,3207
Hug,3207
Driving,3099
Hat,2978
Sneaker,2805
Footwear,2805
Trademark,2514
Sleeve,2514
Snow,2510
Crowd,2420
Bumper,2258
Football Helmet,2183
Football,2183
American Football,2183
Astronaut,1859
Headlight,1832
Convertible,1831
Jacket,1828
Coat,1828
Sports,1813
Glove,1760
Tree,1638
Cushion,1470
Audience,1407
Pedestrian,1407
Lawn Mower,1331
Glasses,1233
Goggles,1233
Car Wash,1179
Pants,1176
Bird,1100
Flyer,1092
Poster,1092
Advertisement,1092
Running Shoe,1085
Winter,968
Aircraft,915
Helicopter,915
Ice,894
Sea,894
Fir,894
Gravel,894
Water,894
Baseball,836
Pit Stop,818
Rug,796
Text,796
Word,796
Piste,794
Skiing,794
Tropical,744
Plant,744
Arecaceae,744
Palm Tree,744
Summer,744
Car Mirror,705
Mirror,705
Boy,697
Headset,620
Electronics,620
Headphones,620
Face,620
Dune,595
Sand,595
Soil,595
