,caption,type,likesCount,commentsCount,videoViewCount,timestamp,postType
0,"💥💥ANNOUNCEMENT💥💥
So excited to announce that I’ll be competing in STCC this year together with Brink Motorsport! I’ll be driving the all new Audi RS 3 LMS 🚗💨

Massive thanks to my partners, supporters and family for making this possible!!!

#stcc #tcr #racing #motorsport #driver",Image,1470,31,,2022-01-10T08:01:21.000Z,Post
1,"Merry Christmas!🛷🛷

📸@helge360",Image,1231,25,,2021-12-24T23:21:59.000Z,Post
2,Time to jump into the car for the season finale at Ring Knutstorp this weekend!🚀 We’ve arrived at the track and are ready for tomorrow’s practice and qualifying. Let’s go!🤙,Video,2203,27,14862.0,2021-10-07T18:45:29.000Z,Post
3,Race Week!🏁 This time we’re heading to the legendary Scandinavian Raceway outside Anderstorp👌,Video,1211,22,4217.0,2021-08-30T20:44:59.000Z,Post
4,"What’s a podium without a challenge?🤺
Started 6th
Fought for 5th
Pushed down to 10th
Raced my way up to 3rd

All in all a good weekend with double junior victories and a podium👌",Sidecar,1985,54,,2021-08-23T16:36:47.000Z,Post
5,Just arrived at Karlskoga Motorbana. I’m looking forward to quali tomorrow!🤙💨,Video,1393,30,3772.0,2021-08-20T19:38:38.000Z,Post
6,this took an unexpected turn😯,Video,3099,47,18825.0,2021-07-23T16:50:30.000Z,Post
7,waiting,Image,1671,38,,2021-07-20T16:27:29.000Z,Post
8,⬆️My last time in Skellefteå💨 It’ll be exiting to explore the slightly changed track with a different car tomorrow🏁,Video,1415,19,7234.0,2021-06-16T19:40:51.000Z,Post
9,"🍾🥈First podium of 2021! I struggled with some technical difficulties throughout the weekend so it feels good to finish on a high note! With the fastest lap in two of the races we’re looking forward to the next race in Skellefteå🤙
.
#racing #stcc #racer #motorsport #sport",Video,1544,49,4765.0,2021-06-05T21:58:51.000Z,Post
10,"I’m jumping in the car ‘cause it’s race week!!!💨🤙
.
#racing #gti #stcc #racer",Video,3303,50,13918.0,2021-06-01T17:37:28.000Z,Post
11,"I’m thankful for every lap!😍
#racing #motorsport #racingdriver",Video,22066,54,169296.0,2021-05-23T16:07:22.000Z,Post
12,"What do you think?💭🎨
.
#racing #helmetdesign #motorsport #instaracing #racingdriver",Video,2339,75,15542.0,2021-05-02T17:56:46.000Z,Post
13,"Our first track day of the year happening tomorrow!🤙 Looking forward to a fun day out on the track!
.
#trackday #racing #ringknutstorp #porsche",Image,2155,36,,2021-04-20T17:22:48.000Z,Post
14,"🚨 ANNOUNCEMENT 🚨
Thrilled to announce that I will be racing in STCC this year! I'm really looking forward to a full season on the Swedish tracks together with @kageredracing 🚙💨

The season, featuring 6 race weekends, starts on the 5th of June and I’m already excited🤙

Big big thanks to my partners and my family for making this possible!!!

#stcc #volkswagen #tcr #racing #motorsport",Image,2632,129,,2021-03-18T08:02:14.000Z,Post
15,The sim build is finished!✅ What do you think?,Sidecar,1803,51,,2021-02-26T17:30:49.000Z,Post
16,"What design do you want to see this year?🎩
#racing #helmet #helmetdesign",Video,1245,38,5424.0,2021-02-20T18:22:30.000Z,Post
17,"The sim build is starting to take shape! Steering wheel and pedals are now installed👌
.
#simlab #simracing #racing",Sidecar,2464,56,,2021-02-15T17:36:51.000Z,Post
18,"Happy Valentine’s Day🚗🚗🚗
#porsche #racing #racecar",Video,1363,22,5271.0,2021-02-14T18:50:54.000Z,Post
19,"Weekend vibes🏎 Hopefully not too far until the next race weekend🤞
#porsche #gt3 #racecar",Video,1273,29,4189.0,2021-02-12T18:46:21.000Z,Post
20,"My first time on a race track and my most recent race😁
#racing #motorsport #porsche",Video,14689,73,162063.0,2021-02-10T17:47:41.000Z,Post
21,"Rare pictures of my car being completely stationary⏸
.
#porschegt3 #carswithoutlimits #exoticcars #carsofinstagram #carspotter #911gt3 #porschesupercup #porschefans #carspotting #carminered #porschelove #guardsred #instacars #porschedesign #porschepix #porsche911gt3 #porsche911 #porscheclub #porschemoment #porschelife #porsche",Sidecar,1175,33,,2021-02-09T17:11:26.000Z,Post
22,"1 year ago today💨 I definitely enjoyed sliding around out on the lake☃️
.
#porsche4s #porschecoupe #911carrera4 #porschesweden #porschedrivingexperience #porschecarrera4s #timelessmachine #911legendsneverdie #porschepassion #sportscartogether #911porsche #911 #sportscar #cars #carlifestyle #dailycars247 #sportcars #carrera4s #911992 #porschelovers #porschecarrera #porsche911 #porsche",Video,2030,44,12776.0,2021-02-07T17:49:50.000Z,Post
23,"Leg it💨💨
.
📸 @caarlindstrom
.
#instacar #carsofinstagram #porscheclub #porsche #porschemoment #porschelife #carshooting #design #porschepix #porschelove #porschepassion #carswithoutlimits #porschefans #instacars #porschecoupe #porschesweden #timelessmachine #911porsche #911992",Sidecar,3055,47,,2021-02-05T18:30:56.000Z,Post
24,"I found a good gap to merge into😅💨
.
#taycan #porschetaycan #instacar #carsofinstagram #porscheclub #porsche #porschemoment #porschelife #carshooting #stuttgart #missione #electriccar #porschepix #porschelove #porschepassion #carswithoutlimits #exoticcars #porschefans #instacars",Video,1778,32,7112.0,2021-02-03T18:50:13.000Z,Post
25,"The new sim rig is starting to take shape👌I’m almost done assembling the @simlab_eu P1-X base. Next step is mounting the servo and the pedals
.
#simrace #simlab #steam #simrig #simracingrigs #simulation #onlineracing #simdriver #gaming #eracing #racingsim #racingwheel #instaracing #simracing #racinggames #racingsimulator #instaracing #simulator",Sidecar,2183,54,,2021-02-01T20:07:41.000Z,Post
