Length,Date,Day,Time,Views,Likes,Comments,Shares,Data date,s watched,d's watched,Avg watched,d'avg watched,%'all watched,%'d'all watched,Audience,d'Audiance,For You,Personal Profile,Follow,Sound,Search,Hashtag,1 Country,%,2C,%,3C,%,4C,%,5C,%,Privated/Deleted sound,,Virality,ER,"9,563,485","7,639,413","4,748,149","2,130,275","1,561,186","18,271",,,,"52,598,473",Moving Average V,Moving Median V,Moving std V,Moving AVG likes,Likes/Views,,Length
15.16,11/9/2020,5,22:34,"27,800",2666,35,23,12/3/2022,352143,0,12.6,0,48,0,25400,0,38,58,4,0,0,0,SE,44,US,17,GB,5,CA,3,NO,3,,0.831134565,4.153342583,9.59%,12232,4726,1390,0,0,0,20,"50,000",3,18.18%,"27,800","27,800",0,"2,666",9.60%,"27,800",15
13.23,13/9/2020,7,22:54,"2,100,000",60500,516,586,12/3/2022,25787549,0,12.2,0,62.8,0,2000000,0,99,1,0,0,0,0,US,28,GB,10,SE,8,DE,5,PH,4,,0.922146636,5.307523799,2.88%,168000,588000,210000,105000,0,0,15,"5,000,000",0.1,14.52%,"1,063,900","1,063,900","1,465,267","31,583",3.00%,"1,063,900",13
11.14,16/9/2020,3,2:06,"67,200",4036,187,38,12/3/2022,696457,7200,10.3,-0.1,44.1,-0.01,62000,2,69,25,2,0,0,0,US,56,SE,23,NO,2,GB,2,FI,2,,0.92459605,3.786185771,6.01%,15456,37632,1344,0,0,0,12,"100,000",4,9.03%,"731,667","67,200","1,185,175","22,401",3.10%,"731,667",11
13.4,10/10/2020,6,22:14,"38,600",1809,31,8,12/3/2022,411361,0,10.6,0,42.9,0,35700,0,53,39,8,0,0,0,SE,30,US,22,GB,8,CA,4,ID,3,,0.791044776,3.698259611,4.69%,11580,8492,3088,0,0,0,15,"50,000",3,4.05%,"558,400","52,900","1,027,868","17,253",3.10%,"558,400",13
13.22,16/10/2020,5,22:29,"135,400",12900,94,26,12/3/2022,1537550,0,11.3,0,55.4,0,127900,0,85,12,2,0,0,0,US,22,SE,20,MY,5,GB,4,CA,4,,0.854765507,4.558686033,9.53%,27080,29788,5416,0,0,0,15,"200,000",10,2.97%,"473,800","67,200","910,038","16,382",3.50%,"473,800",13
13.17,17/10/2020,6,17:47,"671,500",35200,347,253,12/3/2022,8683218,3600,12.9,-0.1,54.4,-0.01,621300,1,95,3,1,0,0,0,SE,28,US,21,JP,6,KR,4,VN,2,,0.979498861,4.528684306,5.24%,188020,141015,0,0,0,0,15,"1,500,000",100,,"506,750","101,300","817,955","19,519",3.90%,"506,750",13
15.3,18/10/2020,7,21:28,"21,900",1730,13,7,12/3/2022,243520,0,11,0,28.9,0,20200,0,9,74,16,0,0,0,US,25,SE,25,GB,7,CA,4,AU,2,,0.718954248,3.18479974,7.90%,5475,5475,1533,0,0,0,20,"25,000",0.1,"26,400","437,486","67,200","768,846","16,977",3.90%,"437,486",15
13.54,20/10/2020,2,2:26,"22,900",1661,9,5,12/3/2022,168466,0,7.3,0,23.4,0,20900,0,9,83,7,0,0,0,US,27,SE,22,GB,8,CA,5,AU,3,,0.539143279,2.966686903,7.25%,5038,6183,1832,0,0,0,15,"25,000",,"1,063,900","385,663","52,900","726,748","15,063",3.90%,"436,786",14
13.26,25/10/2020,7,3:54,"29,700",2713,53,6,12/3/2022,310341,0,10.4,0,35.9,0,26300,0,14,73,12,0,0,0,SE,27,US,24,GB,8,CA,5,AU,3,,0.784313726,3.396521569,9.13%,8019,7128,2376,0,0,0,15,"50,000",Len avg:,254242.5381,"346,111","38,600","690,088","13,691",4.00%,"141,029",13
21.04,28/10/2020,3,3:56,"2,100,000",329100,962,1709,12/3/2022,36299842,177681,17.3,-0.1,44.7,-0.01,2000000,502,90,2,0,1,0,1,SE,16,US,16,GB,9,DE,6,CA,6,,0.822243346,4.136747456,15.67%,336000,336000,189000,126000,0,0,30,"5,000,000",50,208226.5001,"521,500","52,900","854,939","45,232",8.70%,"431,429",21
